OKRES|PS|P_HL_PS
306|7|119
306|1|66
306|18|64
306|10|47
306|20|39
306|13|31
306|5|29
306|23|26
306|21|23
306|14|11
306|16|6
306|22|2
307|19|18584
307|11|17369
307|4|7646
307|24|7391
307|12|5031
307|3|4131
307|6|3228
307|9|2802
307|2|2772
307|17|2565
307|15|2019
307|25|500
307|7|211
307|18|188
307|10|160
307|1|147
307|21|81
307|20|74
307|5|69
307|23|52
307|13|45
307|14|22
307|16|22
307|22|15
308|19|6495
308|11|5901
308|24|2522
308|4|2433
308|12|1433
308|3|1211
308|15|1178
308|9|1093
308|6|1044
308|17|913
308|2|814
308|25|141
308|7|94
308|10|86
308|18|46
308|1|42
308|20|31
308|13|29
308|21|21
308|5|16
308|23|12
308|16|8
308|14|8
308|22|6
309|11|17779
309|19|13354
309|4|6002
309|12|5163
309|24|4816
309|3|4451
309|6|3998
309|15|3131
309|9|2498
309|2|2133
309|17|2094
309|25|422
309|7|173
309|10|169
309|18|142
309|1|98
309|13|85
309|23|67
309|20|50
309|21|41
309|5|39
309|22|27
309|16|23
309|14|18
401|22|18082
401|11|7751
401|18|5565
401|19|2742
401|12|1975
401|4|1617
401|6|1578
401|24|1281
401|3|1241
401|2|536
401|17|449
401|9|397
401|15|205
401|7|203
401|1|103
401|25|98
401|13|44
401|10|44
401|20|43
401|21|13
401|14|11
401|5|9
401|16|9
401|23|4
402|11|14099
402|19|8776
402|22|7107
402|4|4943
402|24|4225
402|12|2962
402|6|2755
402|3|2640
402|18|2459
402|15|1445
402|9|1395
402|2|1354
402|17|1224
402|25|303
402|1|174
402|7|165
402|10|64
402|20|57
402|5|38
402|21|36
402|13|27
402|23|27
402|14|12
402|16|12
403|11|23298
403|19|19551
403|4|8469
403|24|7887
403|3|6416
403|12|5858
403|6|4815
403|15|3227
403|2|2978
403|9|2969
403|17|2654
403|22|1645
403|18|1372
403|25|539
403|7|222
403|1|177
403|10|120
403|20|107
403|5|106
403|21|55
403|13|45
403|23|38
403|14|30
403|16|25
404|11|15975
404|22|12534
404|19|10797
404|4|5554
404|24|4952
404|18|4460
404|12|3075
404|3|2862
404|6|2714
404|2|2247
404|9|1965
404|17|1337
404|15|1315
404|25|288
404|1|172
404|7|144
404|10|60
404|20|47
404|5|42
404|21|32
404|13|32
404|23|20
404|14|15
404|16|8
405|11|6717
405|22|4037
405|19|3260
405|4|2075
405|18|1712
405|12|1547
405|3|1512
405|6|1391
405|24|1345
405|2|667
405|9|525
405|15|467
405|17|394
405|25|112
405|7|67
405|1|66
405|13|56
405|20|27
405|10|27
405|5|15
405|21|11
405|14|9
405|23|9
405|16|6
406|19|11499
406|11|8297
406|4|4090
406|24|3950
406|9|2038
406|15|1913
406|12|1740
406|3|1710
406|2|1281
406|6|1218
406|17|1140
406|25|295
406|7|127
406|1|90
406|21|65
406|18|62
406|10|54
406|20|53
406|5|23
406|13|21
406|23|16
406|16|14
406|14|11
406|22|7
407|19|6050
407|11|5143
407|4|2470
407|24|2355
407|9|1264
407|3|1089
407|15|1063
407|12|1053
407|17|907
407|2|811
407|6|801
407|25|140
407|18|83
407|7|67
407|1|60
407|22|49
407|20|25
407|10|20
407|5|16
407|13|15
407|21|13
407|23|8
407|14|5
407|16|2
501|19|4430
501|11|3786
501|24|2193
501|4|1620
501|9|970
501|15|836
501|12|733
501|3|658
501|17|642
501|2|589
501|6|527
501|25|107
501|7|46
501|1|35
501|18|27
501|10|23
501|20|15
501|5|11
501|21|9
501|13|8
501|22|5
501|23|4
501|14|3
501|16|1
502|19|14334
502|11|8669
502|24|6242
502|4|4088
502|12|2255
502|9|2175
502|17|1783
502|3|1677
502|2|1630
502|15|1429
502|6|1124
502|25|219
502|7|129
502|1|99
502|18|54
502|10|46
502|20|36
502|23|31
502|21|28
502|5|26
502|13|21
502|16|17
502|14|10
502|22|7
503|11|6751
503|19|3636
503|15|2513
503|24|1569
503|4|1552
503|3|1464
503|12|1460
503|6|1312
503|9|749
503|2|641
503|17|626
503|25|118
503|7|90
503|1|60
503|18|39
